"During the present year the Committee has taken several initiatives to improve its contribution to the prevention of racial discrimination.
","Durante el año en curso el Comité ha tomado varias iniciativas para mejorar su contribución a la prevención de la discriminación racial.
","В текущем году Комитетом был предпринят ряд инициатив для усиления его вклада в дело предотвращения расовой дискриминации.
","在本年期间,委员会采取了若干行动,改善其对防止种族歧视的贡献。
","Cette année, le Comité a pris plusieurs initiatives pour améliorer sa contribution à la prévention de la discrimination raciale.
"
"In many conflicts sentiments of ethnic belonging are mixed with sentiments of a religious or political character.
","Hay muchos conflictos en que los sentimientos de pertenencia a una etnia se entremezclan con sentimientos de carácter político o religioso.
","Во многих конфликтах чувство этнической принадлежности перемешивается с чувствами религиозного или политического характера.
","在许多冲突中,民族情绪渗合了宗教或政治情绪。
","Dans de nombreux conflits, les sentiments d'appartenance ethnique sont mêlés à des sentiments religieux ou politiques.
"
"The text of the Convention provides little guidance on the differentiation of ethnic from political motivation, while the position is further complicated by its definition of racial discrimination as covering distinctions which are racial either in their purpose or in their effect.
","El texto de la Convención no ofrece mucha orientación respecto de la diferenciación entre los motivos étnicos y los políticos y la situación se ve agravada aún más por la definición que se da de la discriminación racial, en el sentido de que abarca las distinciones que son raciales ya sea por su propósito ya sea por su efecto.
","В тексте Конвенции содержится мало указаний относительно проведения разграничения между этническими соображениями и политическими мотивами, при этом такое положение осложняется тем, что содержащееся в ней определение расовой дискриминации охватывает различия, которые являются расовыми либо по их цели, либо по их последствиям.
","《公约》的内容对如何区别民族动机和政治动机并没有提供多少指导,而其将种族歧视界定为包括区别其目的或其结果是种族性质的歧视使这种情况更加复杂了。
","Le texte de la Convention fournit peu d'indications sur ce qui différencie les motivations ethniques des motivations politiques et la situation est compliquée encore par la définition qui est donnée de la discrimination raciale dans la Convention et qui recouvre des distinctions qui sont raciales dans leur but ou dans leur effet.
"
"In several of the situations considered during 1995, Committee members were uncertain whether the ethnic elements in the apparent tensions were sufficient to bring the situation within the scope of the Convention.
","En varias de las situaciones examinadas en 1995, los miembros del Comité no estuvieron seguros de que los elementos étnicos que se manifestaban en las tensiones bastaran para que la situación entrara en el ámbito de la Convención.
","При рассмотрении в 1995 году ряда ситуаций члены Комитета не могли с уверенностью определить, имеют ли место в периоды явной напряженности достаточно выраженные этнические элементы, чтобы можно было применить к данным ситуациям положения Конвенции.
","在1995年审查的若干情况中,委员会成员无法确定显然紧张局势中的民族因素是否足以将其归入《公约》的范围之内。
","Dans plusieurs des cas examinés en 1995, les membres du Comité n'étaient pas certains que les facteurs ethniques dans les tensions apparentes fussent suffisamment importants pour que la situation considérée entre dans le champ d'application de la Convention.
"
"They concluded that they should first request further information from the State party and decide later whether the Convention had any bearing upon the situation in question.
","Llegaron a la conclusión de que primero pedirían más información al Estado Parte y después decidirían si la Convención se aplicaba a esa situación concreta.
","Они пришли к выводу, что сначала им следует запросить дополнительную информацию у соответствующего государства-участника и только затем принимать решение о том, имеет ли Конвенция какое-либо отношение к рассматриваемой ситуации.
","他们总结他们应该首先请缔约国提供进一步资料,然后决定《公约》是否对这种局势有任何关系。
","Ils ont conclu qu'il leur fallait d'abord demander des renseignements complémentaires à l'État partie pour pouvoir déterminer ensuite si la situation en question relevait bien de la Convention.
"
"This action on the Committee's part is described in chapter II of the present report, dealing with preventive measures.
","Esta decisión del Comité se explica en el capítulo II del presente informe, que se refiere a las medidas preventivas.
","Такие меры, принятые Комитетом, описаны в главе II настоящего доклада, посвященной вопросу о превентивных мерах.
","委员会在这方面的行动说明了本报告关于预防性措施第二章。
","Il est rendu compte de cette partie des travaux du Comité dans le chapitre II du présent rapport, relatif aux mesures de prévention.
"
"They have neglected the importance of everyday discrimination, whether it be based upon race, ethnic origin, gender, age, social class or disability, and the features which these have in common.
","En cambio, se ha descuidado la importancia de la discriminación cotidiana ya se base en la raza, el origen étnico, el sexo, la edad, la clase social o la incapacidad, y las características que estos fenómenos tienen en común.
","При этом не обращается внимание на серьезность каждодневных проявлений дискриминации, будь то по признаку расы, этнического происхождения, пола, возраста, социального положения или инвалидности, и на то, что все эти проявления имеют общие черты.
","这些政策忽略了日常歧视的重要性,不论是基于种族、民族、性别、年龄、社会阶级或残疾,以及歧视一般具有的特点。
","Il n'a pas été tenu compte de l'importance de la discrimination dans la vie quotidienne, qu'elle soit fondée sur la race, l'origine ethnique, le sexe, l'âge, la classe sociale ou l'invalidité, et des aspects communs à ces formes de discrimination.
"
"The Committee has identified many forms of racial discrimination which are neither institutionalized nor the result of official doctrines.
","El Comité ha individualizado muchas formas de discriminación racial que no se manifiestan en forma institucionalizada ni son consecuencia de doctrinas oficiales.
","Комитетом было выявлено немало форм расовой дискриминации, которые не являются ни институционализированными, ни результатом официальных доктрин.
","委员会已经指明了既不是制度化形式也不是官方教条导致的许多形式的种族歧视。
","Le Comité a recensé de nombreuses formes de discrimination raciale qui ne sont pas institutionnalisées et ne découlent pas non plus de doctrines officielles.
"
"Racial discrimination occurs, or can occur, in almost any circumstances and has many causes.
","La discriminación racial se da, o puede darse, en casi todas las circunstancias y tiene muchas causas.
","Проявления расовой дискриминации имеют место или могут иметь место практически в любых обстоятельствах и по весьма разнообразным причинам.
","几乎在任何情况下都会发生或可能发生种族歧视,和有许多原因。
","La discrimination raciale se produit ou peut se produire dans presque toutes les circonstances et elle a de nombreuses causes.
"
"Many State officials have only a partial understanding of racial discrimination.
","Muchos funcionarios públicos sólo comprenden en parte la discriminación racial.
","Многие государственные деятели имеют лишь частичное представление о расовой дискриминации.
","许多国家官员对种族歧视一知半解。
","Beaucoup d'États ne comprennent qu'en partie ce qu'est la discrimination raciale.
"
"Comparable studies could well be carried out in other fields, such as housing.
","Podrían muy bien efectuarse estudios semejantes en otras esferas, como la de la vivienda.
","Подобные исследования вполне можно было бы провести и в других областях, например в том, что касается жилья.
","在其他领域,诸如住房,也值得进行相应的研究。
","Des études comparables pourraient tout aussi bien être effectuées dans d'autres domaines comme le logement.
"
"If such studies were to be conducted in countries which believe themselves to be free from racial discrimination, the findings might well be salutary.
","Si esos estudios se realizaran en países que se creen libres de toda discriminación racial, los resultados podrían ser saludables.
","Если такие исследования будут осуществлены в тех странах, которые полагают, что в них нет проявлений расовой дискриминации, то выводы этих исследований могли бы быть весьма полезными для них.
","如果这种研究是在自认为没有种族歧视的国家进行,其研究结果可能十分有益。
","Si de telles études étaient menées dans des pays qui se croient à l'abri de la discrimination raciale, leurs conclusions pourraient bien avoir un effet salutaire.
"
"Chapter III of the present report describes the Committee's consideration of the implementation of the Convention in 22 States.
","En el capítulo III del presente informe se describe el examen por el Comité de la Convención en 22 Estados.
","В главе III настоящего доклада изложен ход рассмотрения Комитетом вопроса об осуществлении Конвенции в 22 государствах.
","本报告第三章说明委员会审议《公约》在22个国家的执行情况。
","Le chapitre III du présent rapport rend compte des travaux consacrés par le Comité à l'examen de l'application de la Convention dans 22 États.
"
"In 18 instances this consideration has been based upon periodic reports submitted by the State party.
","En 18 casos, el examen se basó en los informes periódicos presentados por el Estado Parte.
","В 18 случаях при таком рассмотрении за основу брались периодические доклады, представленные государствами-участниками.
","对18个国家,这种审议是根据缔约国提出的定期报告。
","Dans 18 cas, il a été procédé à cet examen sur la base des rapports périodiques présentés par l'État partie.
"
"The States parties at their sixteenth meeting may like to consider whether any action is needed from them when periodic reports have been overdue for such long periods.
","En su 16ª reunión, los Estados Partes podrían considerar si deben tomar alguna medida cuando están tan atrasados en la presentación de sus informes periódicos.
","На своем шестнадцатом совещании государства-участники могут пожелать изучить вопрос о том, следует ли им принимать какие-либо меры в тех случаях, когда периодические доклады не представляются уже в течение длительного периода времени.
","缔约国在其第十六次会议上不妨考虑对于定期报告长期逾期未交是否需要采取任何行动。
","Les États parties voudront peut-être examiner, à leur seizième réunion, les dispositions à prendre quand des rapports périodiques sont en retard depuis aussi longtemps.
"
"The Committee's activities in respect of the prevention of discrimination have added greatly to its workload and are obliging it to adjust its working methods.
","Las actividades del Comité respecto de la prevención de la discriminación lo han sobrecargado de trabajo y le obligan a adaptar sus métodos de trabajo.
","За счет проводимой Комитетом работы в области предотвращения дискриминации значительно усилилась его рабочая нагрузка, что требует от него корректировки рабочих методов.
","委员会关于防止歧视的活动大大加重了其工作量,使其不得不调整工作方法。
","Les activités du Comité en ce qui concerne la prévention de la discrimination ont beaucoup accru sa charge de travail et l'obligent à ajuster ses méthodes de travail.
"
"Subsequent chapters of this report describe the Committee's action in respect of individual communications, the Third Decade to Combat Racism and Racial Discrimination (including its collaboration with the Subcommission on the Prevention of Discrimination and Protection of Minorities), the United Nations Decade for Human Rights Education, and meetings with the Special Rapporteurs of the Commission on Human Rights on the former Yugoslavia and on racism and xenophobia.
","En ulteriores capítulos del presente informe se describen las medidas del Comité respecto de las comunicaciones individuales, el Tercer Decenio de la Lucha contra el Racismo y la Discriminación Racial (en particular, la colaboración que el Comité mantiene con la Subcomisión de Prevención de Discriminaciones y Protección a las Minorías), el Decenio de las Naciones Unidas para la educación en la esfera de los derechos humanos, y las reuniones con los Relatores Especiales de la Comisión de Derechos Humanos encargados de la ex Yugoslavia y del racismo y la xenofobia.
","В последующих главах настоящего доклада описываются меры, принятые Комитетом по индивидуальным сообщениям, в также в отношении третьего Десятилетия действия по борьбе с расизмом и расовой дискриминацией (включая сотрудничество с Подкомиссией по предупреждению дискриминации и защите меньшинств), Десятилетия образования в области прав человека Организации Объединенных Наций и проведения совещаний со специальными докладчиками Комиссии по правам человека по вопросу о бывшей Югославии и по вопросу о расизме и ксенофобии.
","本报告以后各章说明委员会在个人来文、向种族主义和种族歧视进行战斗的第三个十年(包括其与防止歧视及保护少数小组委员会的合作)、联合国人权教育十年、以及同人权委员会前南斯拉夫和种族主义及仇外心理问题特别报告员的会议方面的行动。
","Les autres chapitres du rapport rendent compte des travaux du Comité en ce qui concerne les communications individuelles, la troisième Décennie de la lutte contre le racisme et la discrimination raciale (y compris la collaboration du Comité avec la Sous-Commission de la lutte contre les mesures discriminatoires et de la protection des minorités), la Décennie des Nations Unies pour l'éducation dans le domaine des droits de l'homme et les réunions avec les rapporteurs spéciaux de la Commission des droits de l'homme sur l'ex-Yougoslavie et sur le racisme et la xénophobie.
"
"The Committee has adopted a general recommendation on article 3 of the Convention and has given consideration to proposed general recommendations on article 5, and on the relevance to the Convention of the right of self-determination.
","El Comité ha aprobado una recomendación general relativa al artículo 3 de la Convención y ha examinado las recomendaciones generales propuestas respecto del artículo 5 y de la importancia que para el derecho de libre determinación tiene la Convención.
","Комитет принял общую рекомендацию по статье 3 Конвенции и рассмотрел предложенные общие рекомендации по статье 5 Конвенции и по уместности включения в Конвенцию права на самоопределение.
","委员会通过了关于《公约》第3条的一般性建议及审议了关于第5条的拟议的一般性建议,以及《公约》与自决权的关系。
","Le Comité a adopté une recommandation générale sur l'article 3 de la Convention et examiné les projets de recommandation générale sur l'article 5 et sur le rapport entre la Convention et le droit à l'autodétermination.
"
"Nothing has happened since then to weaken our support for this principle, and much has happened to underline its importance.
","Desde entonces no ha sucedido nada que nos incite a apartarnos de ese principio, y ha sucedido mucho que viene a recalcar su importancia.
","произошло ничего такого, что могло бы ослабить нашу поддержку этого принципа, зато произошло немало такого, что только подчеркнуло его важность.
","""自那时以来,任何事情都没有消弱我们对这一原则的支持,反而更加强调这一原则的重要性。
","Rien n'est intervenu depuis qui amoindrisse notre attachement à ce principe, dont l'importance a été renforcée par bien des événements.
"
"Frontiers are to be preserved, and people have to be helped to live peacefully with all others whose homes are within these frontiers.
","Es preciso mantener las fronteras y hay que ayudar a la gente a vivir en paz con todas las demás personas que viven dentro de esas fronteras.
","Необходимо сохранить границы и оказать населению помощь, с тем чтобы оно могло жить в мире со всеми другими, чей дом находится внутри этих границ.
","边界要加以维护,必须帮助人民同居住在边界之内的所有其他人和平地生活。
","Les frontières doivent être préservées et les individus doivent être aidés à vivre en paix avec tous ceux qui résident à l'intérieur de ces frontières.
"
"The prevention of discrimination is crucial to future peace.
","La prevención de la discriminación es de importancia capital para la paz en el futuro.
","Предотвращение дискриминации имеет огромнейшее значение для мира в будущем.
","防止歧视对未来的和平是至关重要的。
","La prévention de la discrimination est cruciale pour la paix future.
"
"
","
","
","
","
"
